일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/11/21","61400","-400","-0.65","61400","61800","60800","9378097","573783339409","366544648570000","5969782550"
"2022/11/18","61800","400","0.65","61800","62400","61400","12236503","757454905470","368932561590000","5969782550"
"2022/11/17","61400","-1300","-2.07","62000","62000","61300","13298296","819118806800","366544648570000","5969782550"
"2022/11/16","62700","300","0.48","62400","62700","61700","12909260","804219667250","374305365885000","5969782550"
"2022/11/15","62400","500","0.81","62200","62500","61600","12310986","764117239743","372514431120000","5969782550"
"2022/11/14","61900","-1000","-1.59","62900","62900","61700","15973416","993352234080","369529539845000","5969782550"
"2022/11/11","62900","2500","4.14","63100","63200","62300","20037163","1257129641861","375499322395000","5969782550"
"2022/11/10","60400","-1600","-2.58","61400","61500","60400","21087633","1283005045328","360574866020000","5969782550"
"2022/11/09","62000","200","0.32","62000","62200","61300","14045592","869644724000","370126518100000","5969782550"
"2022/11/08","61800","1600","2.66","60500","61900","60500","18273898","1123976801804","368932561590000","5969782550"
"2022/11/07","60200","800","1.35","59700","60300","59400","12437246","747350127100","359380909510000","5969782550"
"2022/11/04","59400","200","0.34","59100","59500","58400","12445841","734525784600","354605083470000","5969782550"
"2022/11/03","59200","-400","-0.67","58600","59800","58100","17492162","1029199659366","353411126960000","5969782550"
"2022/11/02","59600","-400","-0.67","59700","60000","59300","13202919","787057605000","355799039980000","5969782550"
"2022/11/01","60000","600","1.01","59900","60300","59500","17201647","1030380927406","358186953000000","5969782550"
"2022/10/31","59400","2100","3.66","58100","59900","58000","18999514","1126467842000","354605083470000","5969782550"
"2022/10/28","57300","-2200","-3.70","58900","59200","57200","20924937","1213293156195","342068540115000","5969782550"
"2022/10/27","59500","100","0.17","59700","60100","58900","21756712","1296030977930","355202061725000","5969782550"
"2022/10/26","59400","1700","2.95","58000","59600","57700","20824967","1227076491560","354605083470000","5969782550"
"2022/10/25","57700","200","0.35","57000","58600","57000","17405678","1009512119302","344456453135000","5969782550"
"2022/10/24","57500","1600","2.86","57000","57500","56700","16944503","968892104300","343262496625000","5969782550"
"2022/10/21","55900","400","0.72","55100","56300","55100","11456060","640343092816","333710844545000","5969782550"
"2022/10/20","55500","-300","-0.54","55200","56000","55100","17107653","949265250905","331322931525000","5969782550"
"2022/10/19","55800","-700","-1.24","56700","56900","55700","12660652","710947532900","333113866290000","5969782550"
"2022/10/18","56500","-100","-0.18","56700","57100","55800","14820702","835744764000","337292714075000","5969782550"
"2022/10/17","56600","300","0.53","55800","57000","55700","13641878","769638197200","337889692330000","5969782550"
"2022/10/14","56300","1100","1.99","56200","56500","55800","12924326","726962989400","336098757565000","5969782550"
"2022/10/13","55200","-600","-1.08","55400","56100","55200","13784602","765435187900","329531996760000","5969782550"
